n_number,mode_s_hex,model_code,model_name,manufacturer,owner_name,owner_city,owner_state,match_reasons,confidence,type_aircraft,type_engine,status_code
279CH,A2C825,8680877,AS350B2,AEROSPATIALE,COASTAL HELICOPTERS INC,JUNEAU,AK,Model: AS350B2,medium,6,3,V
279RF,A2C968,06102DE,Unknown,Unknown,RAPIDFLIGHT HOLDINGS LLC,MANASSAS,VA,Owner name keyword,low,4,10,V
27AE,A2A428,1182107,Unknown,Unknown,AIR EVAC EMS INC,O FALLON,MO,Owner name keyword,low,6,3,V
27C,A2A455,2130010,Unknown,Unknown,JUSTICE FOR LIFE LLC,KALISPELL,MT,Owner name keyword,low,4,5,V
27DX,A2A484,8143021,S-76D,SIKORSKY AIRCRAFT CORP,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,NORTH SALT LAKE,UT,Model: S-76D,medium,6,3,V
27WA,A2A618,8680817,AS350BA,AEROSPATIALE,WINGS AIR HELICOPTERS LLC,WEST HARRISON,NY,Model: AS350BA,medium,6,3,V
2804U,A2D0F2,7480402,Unknown,Unknown,H I FLIGHT INC,LEXINGTON,KY,Owner name keyword,low,2,0,V
2805J,A2D10B,3021466,Unknown,Unknown,AMERICAN FLIGHT MUSEUM INC,TOPEKA,KS,Owner name keyword,low,5,2,V
2806B,A2D127,1181008,Unknown,Unknown,HELIFLIGHT LEASING LLC,BULVERDE,TX,Owner name keyword,low,6,1,V
280FS,A2CE89,3300506,Unknown,Unknown,AIRFLIGHT LLC,WILMINGTON,DE,Owner name keyword,low,6,1,V
280GD,A2CE95,4500314,Unknown,Unknown,GENERAL DYNAMICS ORDNANCE AND TACTICAL SYSTEMS INC,SAINT PETERSBURG,FL,Owner name keyword,low,5,5,V
280JH,A2CECB,05901LG,Unknown,Unknown,AIRFLIGHT LLC,DE PERE,WI,Owner name keyword,low,4,8,V
280RF,A2CF78,06102DE,Unknown,Unknown,RAPIDFLIGHT HOLDINGS LLC,MANASSAS,VA,Owner name keyword,low,4,10,V
280TR,A2CFB4,8143007,S-76B,SIKORSKY,AIRCRAFT GUARANTY CORPORATION TRUSTEE,OKLAHOMA CITY,OK,Model: S-76B,medium,6,3,V
280WR,A2CFFF,3300505,Unknown,Unknown,BEACON AVIATION FLIGHT SERVICES LLC,ROGERS,AR,Owner name keyword,low,6,1,V
2812,A2D450,05903IZ,Unknown,Unknown,SKY KNIGHTS FLIGHT CLUB,THOUSAND OAKS,CA,Owner name keyword,low,4,7,V
281AE,A2D1B7,1182108,Unknown,Unknown,AIR EVAC EMS INC,O FALLON,MO,Owner name keyword,low,6,3,V
281HC,A2D264,0260114,A109SP,AGUSTAWESTLAND,IHC HEALTH SERVICES INC,SALT LAKE CITY,UT,Model: A109SP; Owner name keyword,high,6,3,V
281MC,A2D2C8,0260401,AW119MKII,AGUSTAWESTLAND PHILADELPHIA CO,DODSON INTERNATIONAL PARTS INC,RANTOUL,KS,Model: AW119MKII,medium,6,3,V
281RF,A2D32F,06102DE,Unknown,Unknown,RAPIDFLIGHT HOLDINGS LLC,MANASSAS,VA,Owner name keyword,low,4,10,V
282KM,A2D656,0260118,A109C,AGUSTA SPA,FIVE SKINNY PIGS LLC,WINTER PARK,FL,Model: A109C,medium,6,3,V
282S,A2D6F9,8143006,S-76A,SIKORSKY,ARROW AVIATION COMPANY LLC,BROUSSARD,LA,Model: S-76A,medium,6,3,V
282TX,A2D728,3260390,Unknown,Unknown,TRANSMEDICS INC,BELGRADE,MT,Owner name keyword,low,5,5,V
282UB,A2D72D,06102D3,Unknown,Unknown,AGRICARE SOLUTIONS LLC,PERRYVILLE,MO,Owner name keyword,low,6,10,V
282ZZ,A2D7C0,5620025,MBB-BK117 D-3,AIRBUS HELICOPTERS DEUTSCHLAND,MIRASOL SKY LLC,DALLAS,TX,Model: MBB-BK117 D-3,medium,6,3,V
283AC,A2D923,7106012,Unknown,Unknown,MEDICAL TRANSPORT INC,DOVER,DE,Owner name keyword,low,5,1,V
283RF,A2DA9D,06102DE,Unknown,Unknown,RAPIDFLIGHT HOLDINGS LLC,MANASSAS,VA,Owner name keyword,low,4,10,V
283TX,A2DADF,3260390,Unknown,Unknown,TRANSMEDICS INC,BELGRADE,MT,Owner name keyword,low,5,5,V
283XL,A2DB38,1181511,Unknown,Unknown,THIEL AIR CARE INC,CHOWCHILLA,CA,Owner name keyword,low,6,3,V
284BS,A2DD01,06102D3,Unknown,Unknown,IN FLIGHT AG LLC,MONROE,NC,Owner name keyword,low,6,10,V
284ES,A2DD4C,06102D3,Unknown,Unknown,IN FLIGHT AG LLC,MONROE,NC,Owner name keyword,low,6,10,V
284HA,A2DD87,06102HN,Unknown,Unknown,HYPER FLIGHT SERVICES LLC,WELLSTON,OK,Owner name keyword,low,6,10,V
284SD,A2DE6B,1182217,Unknown,Unknown,CITY OF SAN DIEGO FIRE-RESCUE DEPT,SAN DIEGO,CA,Owner name keyword,low,6,3,V
284TX,A2DE96,3260390,Unknown,Unknown,TRANSMEDICS INC,BELGRADE,MT,Owner name keyword,low,5,5,V
285AE,A2E093,1182108,Unknown,Unknown,AIR EVAC EMS INC,O FALLON,MO,Owner name keyword,low,6,3,V
285LB,A2E18A,06102HG,Unknown,Unknown,TOPFLIGHT DRONE CO LLC,FARMLAND,IN,Owner name keyword,low,6,10,V
285RF,A2E20B,06102DE,Unknown,Unknown,RAPIDFLIGHT HOLDINGS LLC,MANASSAS,VA,Owner name keyword,low,4,10,V
285TX,A2E24D,3260390,Unknown,Unknown,TRANSMEDICS INC,BELGRADE,MT,Owner name keyword,low,5,5,V
286RF,A2E5C2,06102DE,Unknown,Unknown,RAPIDFLIGHT HOLDINGS LLC,MANASSAS,VA,Owner name keyword,low,4,10,V
287RF,A2E979,06102DE,Unknown,Unknown,RAPIDFLIGHT HOLDINGS LLC,MANASSAS,VA,Owner name keyword,low,4,10,V
287TX,A2E9BB,3260390,Unknown,Unknown,TRANSMEDICS INC,BELGRADE,MT,Owner name keyword,low,5,5,V
288AE,A2EBB8,1182108,Unknown,Unknown,AIR EVAC EMS INC,O FALLON,MO,Owner name keyword,low,6,3,V
288CH,A2EBED,8680813,AS350 B2 ECUREUIL,AEROSPATIALE,COASTAL HELICOPTERS INC,JUNEAU,AK,Model: AS350 B2 ECUREUIL,medium,6,3,V
288RF,A2ED30,06102DE,Unknown,Unknown,RAPIDFLIGHT HOLDINGS LLC,MANASSAS,VA,Owner name keyword,low,4,10,V
288SL,A2ED4E,060009A,Unknown,Unknown,ULTIMATE FLIGHT LLC,CARSON CITY,NV,Owner name keyword,low,4,8,V
288WS,A2EDB8,8680817,AS350BA,AEROSPATIALE,WORLD TRADE ENTERPRISES LLC,LUCAS,TX,Model: AS350BA,medium,6,3,V
289TX,A2F129,3260390,Unknown,Unknown,TRANSMEDICS INC,BELGRADE,MT,Owner name keyword,low,5,5,V
28BM,A2CBC7,7103405,Unknown,Unknown,US FLIGHT ACADEMY INTL INC DBA,POST,TX,Owner name keyword,low,5,1,V
28HV,A2CC65,0600045,Unknown,Unknown,TAKE FLIGHT AVIATION LLC,MONTGOMERY,NY,Owner name keyword,low,4,8,V
28LM,A2CCA8,7107573,Unknown,Unknown,MARCARE AVIATION LLC,ARROYO GRANDE,CA,Owner name keyword,low,4,2,V
28NM,A2CCDA,0260117,A109S,AGUSTAWESTLAND,NORTH MEMORIAL HEALTHCARE,BROOKLYN CENTER,MN,Model: A109S; Owner name keyword,high,6,3,V
2905H,A2F889,8051606,Unknown,Unknown,HIGH FLIGHTS SOARING CLUB,PEYTON,CO,Owner name keyword,low,1,0,V
2907A,A2F8C8,1145005,AS350B3,AIRBUS HELICOPTERS INC,DEPARTMENT OF HOMELAND SECURITY,WASHINGTON,DC,Model: AS350B3,medium,6,3,V
290AE,A2F57F,1182108,Unknown,Unknown,AIR EVAC EMS INC,O FALLON,MO,Owner name keyword,low,6,3,V
290K,A2F65B,1152914,Unknown,Unknown,AIR EMS INC,TULSA,OK,Owner name keyword,low,5,2,V
290LB,A2F676,06102G1,Unknown,Unknown,GENERAL ATOMICS AERONAUTICAL SYSTEMS INC,POWAY,CA,Owner name keyword,low,4,2,V
290RF,A2F6F7,06102DE,Unknown,Unknown,RAPIDFLIGHT HOLDINGS LLC,MANASSAS,VA,Owner name keyword,low,4,10,V
290SF,A2F710,0260101,A109E,AGUSTA SPA,BEST AIRCRAFT DEALS LLC,SALT LAKE CITY,UT,Model: A109E,medium,6,3,V
290TX,A2F739,3260390,Unknown,Unknown,TRANSMEDICS INC,BELGRADE,MT,Owner name keyword,low,5,5,V
291HC,A2F9E3,0260116,AW109SP,AGUSTAWESTLAND SPA,IHC HEALTH SERVICES INC,SALT LAKE CITY,UT,Model: AW109SP; Owner name keyword,high,6,3,V
291PA,A2FA77,1152920,Unknown,Unknown,NORTHROP GRUMMAN SYSTEMS CORP,EL SEGUNDO,CA,Owner name keyword,low,5,2,V
291RF,A2FAAE,06101ZK,Unknown,Unknown,SUBJECT MEDIA GROUP LLC,SAINT CHARLES,MO,Owner name keyword,low,6,10,V
291TX,A2FAF0,3260390,Unknown,Unknown,TRANSMEDICS INC,BELGRADE,MT,Owner name keyword,low,5,5,V
2926,A30012,3800341,STANDARD LIBELLE,GLASFLUGEL,MARTUCCI DENNIS J,MONROE,GA,Model: STANDARD LIBELLE,medium,1,0,V
292AE,A2FCED,1182107,Unknown,Unknown,AIR EVAC EMS INC,O FALLON,MO,Owner name keyword,low,6,3,V
292LF,A2FDE8,8680813,AS350 B2 ECUREUIL,AEROSPATIALE,DISCOVERY HELICOPTERS LLC,LAS VEGAS,NV,Model: AS350 B2 ECUREUIL,medium,6,3,V
292RF,A2FE65,06102DE,Unknown,Unknown,RAPIDFLIGHT HOLDINGS LLC,MANASSAS,VA,Owner name keyword,low,4,10,V
292TX,A2FEA7,3260390,Unknown,Unknown,TRANSMEDICS INC,BELGRADE,MT,Owner name keyword,low,5,5,V
292WA,A2FEDD,2730106,Unknown,Unknown,LIFETIME CHIMNEY SUPPLY LLC,PLAINVIEW,NY,Owner name keyword,low,5,5,V
293AE,A300A4,1182108,Unknown,Unknown,AIR EVAC EMS INC,O FALLON,MO,Owner name keyword,low,6,3,V
293TX,A3025E,3260390,Unknown,Unknown,TRANSMEDICS INC,BELGRADE,MT,Owner name keyword,low,5,5,V
293UX,A30277,3260203,Unknown,Unknown,AMERIFLIGHT LLC,DALLAS,TX,Owner name keyword,low,5,2,V
2949W,A307FE,1181511,Unknown,Unknown,THIEL AIR CARE INC,CHOWCHILLA,CA,Owner name keyword,low,6,3,V
294RF,A305D3,06102DF,Unknown,Unknown,RAPIDFLIGHT HOLDINGS LLC,MANASSAS,VA,Owner name keyword,low,4,7,V
294TX,A30615,3260390,Unknown,Unknown,TRANSMEDICS INC,BELGRADE,MT,Owner name keyword,low,5,5,V
2950J,A30A6E,2071816,Unknown,Unknown,RUNWAY AVIATION FLIGHT TRAINING USA CORP,ROCKWALL,TX,Owner name keyword,low,4,8,V
2959C,A30BA3,06102FL,Unknown,Unknown,ARCANGEL DRONE SERVICES LLC,GODDARD,KS,Owner name keyword,low,6,10,V
295AE,A30812,1182108,Unknown,Unknown,AIR EVAC EMS INC,O FALLON,MO,Owner name keyword,low,6,3,V
295J,A308D5,1145005,AS350B3,AIRBUS HELICOPTERS INC,AB AIR LTD,CANTON,OH,Model: AS350B3,medium,6,3,V
295RA,A30985,2990105,Unknown,Unknown,FLIGHT STARS LLC,PRESCOTT,AZ,Owner name keyword,low,5,1,V
295RF,A3098A,06102DF,Unknown,Unknown,RAPIDFLIGHT HOLDINGS LLC,MANASSAS,VA,Owner name keyword,low,4,7,V
295TX,A309CC,3260390,Unknown,Unknown,TRANSMEDICS INC,BELGRADE,MT,Owner name keyword,low,5,5,V
2963A,A30E86,05902OW,FLIGHTSTAR II-SL,FLIGHTSTAR,BORKHOLDER OLEN,MILFORD,IN,Model: FLIGHTSTAR II-SL,medium,4,7,V
296AE,A30BC9,1182107,Unknown,Unknown,AIR EVAC EMS INC,O FALLON,MO,Owner name keyword,low,6,3,V
296PD,A30D0D,1145100,AS350B2,AMERICAN EUROCOPTER CORP,CITY OF PHILADELPHIA,PHILADELPHIA,PA,Model: AS350B2,medium,6,3,V
296RF,A30D41,06102DF,Unknown,Unknown,RAPIDFLIGHT HOLDINGS LLC,MANASSAS,VA,Owner name keyword,low,4,7,V
296S,A30D54,1145005,AS350B3,AIRBUS HELICOPTERS INC,DEPARTMENT OF HOMELAND SECURITY,WASHINGTON,DC,Model: AS350B3,medium,6,3,V
296SA,A30D55,1152931,Unknown,Unknown,CENTRAL GEORGIA SYSTEMS LLC,COCHRAN,GA,Owner name keyword,low,5,2,V
296W,A30DB8,1145005,AS350B3,AIRBUS HELICOPTERS INC,AIRBUS HELICOPTERS INC,GRAND PRAIRIE,TX,Model: AS350B3,medium,6,3,V
2972,A31219,3800341,STANDARD LIBELLE,GLASFLUGEL,MACVEIGH JOHN D,THOMASVILLE,PA,Model: STANDARD LIBELLE,medium,1,0,V
297CX,A30FC3,05623KR,BELLAIRE,XANDER CHARLES A,GILMORE ARNOLD R,WAUCHULA,FL,Model: BELLAIRE,medium,4,7,V
297PD,A310C4,1145102,AS350B2,AIRBUS HELICOPTERS INC,CITY OF PHILADELPHIA,PHILADELPHIA,PA,Model: AS350B2,medium,6,3,V
297TX,A3113A,3260390,Unknown,Unknown,TRANSMEDICS INC,BELGRADE,MT,Owner name keyword,low,5,5,V
29853,A31655,3950414,Unknown,Unknown,FLIGHT MANAGEMENT RESOURCES LLC,WILMINGTON,DE,Owner name keyword,low,5,1,V
298BC,A3134E,1153005,Unknown,Unknown,FLIGHT SCHOOL OF GWINNETT,LAWRENCEVILLE,GA,Owner name keyword,low,5,1,V
298FA,A313B0,06101UI,Unknown,Unknown,ADVANCED CROP CARE INC,STERLING,IL,Owner name keyword,low,6,10,V
298LA,A3142D,0390308,Unknown,Unknown,GREGS CROP CARE CO INC,WILBUR,WA,Owner name keyword,low,4,2,V
298R,A314A9,0260101,A109E,AGUSTA SPA,N962HELI LLC,EDMOND,OK,Model: A109E,medium,6,3,V
298RF,A314AF,06102DF,Unknown,Unknown,RAPIDFLIGHT HOLDINGS LLC,MANASSAS,VA,Owner name keyword,low,4,7,V
298TX,A314F1,3260390,Unknown,Unknown,TRANSMEDICS INC,BELGRADE,MT,Owner name keyword,low,5,5,V
2994S,A319DE,06102HN,Unknown,Unknown,WILDLIFE STRATEGIES SERVICES LLC,MEMPHIS,TN,Owner name keyword,low,6,10,V
299AE,A316EE,1182107,Unknown,Unknown,AIR EVAC EMS INC,O FALLON,MO,Owner name keyword,low,6,3,V
299FL,A31771,4500102,Unknown,Unknown,FLIGHT LOGISTICS LLC,WESTERVILLE,OH,Owner name keyword,low,5,5,V
299QP,A31855,06102FL,Unknown,Unknown,PRECISION CROP FLIGHT LLC,MOUNT PLEASANT,IA,Owner name keyword,low,6,10,V
299RP,A3186E,7150004,Unknown,Unknown,GUARDIAN FLIGHT LLC,LEWISVILLE,TX,Owner name keyword,low,5,2,V
29AE,A2F326,1182108,Unknown,Unknown,AIR EVAC EMS INC,O FALLON,MO,Owner name keyword,low,6,3,V
29JG,A2F3F0,0564310,Unknown,Unknown,SPEED AND ANGELS LLC,DOVER,DE,Owner name keyword,low,4,4,V
29JW,A2F3FE,4500304,Unknown,Unknown,SCHUSSBOOMER SYSTEMS INC,ANACORTES,WA,Owner name keyword,low,5,5,V
29KJ,A2F40B,0564310,Unknown,Unknown,MEDORE DOUG,ROMOLAND,CA,Owner name keyword,low,4,4,V
29LW,A2F430,1145000,AS350B2,AMERICAN EUROCOPTER LLC,TINY BUBBLES AVIATION INC,PACOIMA,CA,Model: AS350B2,medium,6,3,V
29SB,A2F4B3,2076628,Unknown,Unknown,MEDSITE PARTNERS LLC,HOUSTON,TX,Owner name keyword,low,5,5,V
2BT,A18D7C,5620025,MBB-BK117 D-3,AIRBUS HELICOPTERS DEUTSCHLAND,BT T2 LLC,MISSOULA,MT,Model: MBB-BK117 D-3,medium,6,3,V
2EN,A18DC2,0260101,A109E,AGUSTA SPA,EUROTEC VERTICAL FLIGHT SOLUTIONS LLC,EUDORA,KS,Model: A109E; Owner name keyword,high,6,3,V
2JZ,A18E31,7104623,Unknown,Unknown,FAIRWINDS FLIGHT LLC,BLOOMINGTON,MN,Owner name keyword,low,4,2,V
2KC,A18E35,2076628,Unknown,Unknown,SIERRA FLIGHT LLC,WILMINGTON,DE,Owner name keyword,low,5,5,V
2NK,A18E87,5620025,MBB-BK117 D-3,AIRBUS HELICOPTERS DEUTSCHLAND,AIR BASE LLC,JUPITER,FL,Model: MBB-BK117 D-3,medium,6,3,V
300HN,A3200E,5620028,EC135T3,AIRBUS HELICOPTERS,AIRBUS HELICOPTERS INC,GRAND PRAIRIE,TX,Model: EC135T3,medium,6,3,V
300MF,A3206B,3021466,Unknown,Unknown,MISSIONARY FLIGHTS AND SERVICES INC DBA,FORT PIERCE,FL,Owner name keyword,low,5,2,V
300MU,A32078,9130013,Unknown,Unknown,NORTHERN LIGHT BALLOON EXPEDS/SEDONA B FLIGHTS INC,SEDONA,AZ,Owner name keyword,low,2,0,V
300SW,A320F7,138447K,Unknown,Unknown,FRONTIERS OF FLIGHT MUSEUM INC,DALLAS,TX,Owner name keyword,low,5,5,V
300TH,A32103,1152740,Unknown,Unknown,PACIFIC FLIGHT ACADEMY LLC,HONOLULU,HI,Owner name keyword,low,5,1,V
3012,A325A7,3800339,H 301 B LIBELLE,GLASFLUGEL,WESTERN ANTIQUE AEROPLANE & AUTOMOBILE MUSEUM,HOOD RIVER,OR,Model: H 301 B LIBELLE,medium,1,0,V
3013,A325CA,3800339,H 301 B LIBELLE,GLASFLUGEL,KUCERA NATHANIEL PAUL,COVINGTON,KY,Model: H 301 B LIBELLE,medium,1,0,V
3019,A3269C,3800341,STANDARD LIBELLE,GLASFLUGEL,DAVIES HARRY FRANCIS,CALIFORNIA,MD,Model: STANDARD LIBELLE,medium,1,0,V
301BW,A32337,3800337,H 301 LIBELLE,GLASFLUGEL,BERRY WALLACE D JR,LAFAYETTE,AL,Model: H 301 LIBELLE,medium,1,0,V
301CH,A32343,1145005,AS350B3,AIRBUS HELICOPTERS INC,COASTAL HELICOPTERS INC,JUNEAU,AK,Model: AS350B3,medium,6,3,V
301FD,A3238A,0260400,Unknown,Unknown,LOS ANGELES FIRE DEPARTMENT,VAN NUYS,CA,Owner name keyword,low,6,3,V
301HC,A323BB,2076702,Unknown,Unknown,IHC HEALTH SERVICES INC,SALT LAKE CITY,UT,Owner name keyword,low,5,5,V
301J,A323D1,3800339,H 301 B LIBELLE,GLASFLUGEL,MAHONY JOHN P,SCHENECTADY,NY,Model: H 301 B LIBELLE,medium,1,0,V
301LE,A32408,1182154,Unknown,Unknown,LIFEFLIGHT EAGLE,KANSAS CITY,MO,Owner name keyword,low,6,3,V
301MF,A32422,5620040,EC135 P3,AIRBUS HELICOPTERS DEUTSCHLAND,QUAD CITY HELICOPTER EMERGENCY MEDICAL SERVICE,DAVENPORT,IA,Model: EC135 P3; Owner name keyword,high,6,3,V
301N,A32435,3800337,H 301 LIBELLE,GLASFLUGEL,READ RODERICK F JR,GRAYSLAKE,IL,Model: H 301 LIBELLE,medium,1,0,V
301PH,A32456,5620027,Unknown,Unknown,PHI HEALTH LLC,PHOENIX,AZ,Owner name keyword,low,6,3,V
301Q,A32467,3800337,H 301 LIBELLE,GLASFLUGEL,MCGARRAUGH BARRY L,MINDEN,NV,Model: H 301 LIBELLE,medium,1,0,V
301RF,A32486,06102DF,Unknown,Unknown,RAPIDFLIGHT HOLDINGS LLC,MANASSAS,VA,Owner name keyword,low,4,7,V
301RG,A32487,3800337,H 301 LIBELLE,GLASFLUGEL,WEBB JAMES T,PLANTERSVILLE,MS,Model: H 301 LIBELLE,medium,1,0,V
301RP,A3248E,3800337,H 301 LIBELLE,GLASFLUGEL,HORIGAN RICHARD D,FAIRFIELD,PA,Model: H 301 LIBELLE,medium,1,0,V
301WM,A32509,3980218,Unknown,Unknown,ANGEL AIR LLC,SHERIDAN,WY,Owner name keyword,low,5,5,V
301XP,A32524,061003Q,Unknown,Unknown,GENERAL ATOMICS AERONAUTICAL SYSTEMS INC,POWAY,CA,Owner name keyword,low,4,7,V
3020M,A32924,7104402,Unknown,Unknown,WIFA (WASHINGTON INTERNATIONAL FLIGHT ACADEMY) LLC,GAITHERSBURG,MD,Owner name keyword,low,5,1,V
3029F,A32A59,060005E,Unknown,Unknown,M&L FLIGHT INC,NEWCASTLE,WA,Owner name keyword,low,4,8,V
302AL,A326CB,0610058,Unknown,Unknown,AO FLIGHT APPLICATIONS LLC,HARKER HEIGHTS,TX,Owner name keyword,low,6,10,V
302DC,A3270E,06102D3,Unknown,Unknown,UNL DEPT OF BIOLOGICAL SYSTEMS ENGINEERING,LINCOLN,NE,Owner name keyword,low,6,10,V
302FD,A32741,0260106,Unknown,Unknown,LOS ANGELES CITY,VAN NUYS,CA,Owner name keyword,low,6,3,V
302LE,A327BF,1182154,Unknown,Unknown,LIFEFLIGHT EAGLE,KANSAS CITY,MO,Owner name keyword,low,6,3,V
302ML,A327DE,2730176,Unknown,Unknown,NORTHWESTERN MUTUAL LIFE INSURANCE CO,MILWAUKEE,WI,Owner name keyword,low,5,5,V
302PH,A3280D,5620027,Unknown,Unknown,PHI HEALTH LLC,PHOENIX,AZ,Owner name keyword,low,6,3,V
302RF,A3283D,06102DF,Unknown,Unknown,RAPIDFLIGHT HOLDINGS LLC,MANASSAS,VA,Owner name keyword,low,4,7,V
302TP,A32877,1145005,AS350B3,AIRBUS HELICOPTERS INC,CITY OF TULSA,TULSA,OK,Model: AS350B3,medium,6,3,V
302VM,A328A7,7104402,Unknown,Unknown,WIFA (WASHINGTON INTERNATIONAL FLIGHT ACADEMY) LLC,GAITHERSBURG,MD,Owner name keyword,low,5,1,V
3030V,A32CE3,2071830,Unknown,Unknown,SANDERS FLIGHT TRAINING CENTER INC,JASPER,AL,Owner name keyword,low,4,8,V
3036P,A32DAF,060005E,Unknown,Unknown,ORBITAL FLIGHT TRAINING LLC,ST GEORGE,UT,Owner name keyword,low,4,8,V
303AA,A32A78,06102IR,Unknown,Unknown,TEXTRON SYSTEMS UNMANNED SYSTEMS,BLACKSTONE,VA,Owner name keyword,low,H,1,V
303CA,A32AAA,1152911,Unknown,Unknown,M&H FLIGHT SERVICES LLC,KERRVILLE,TX,Owner name keyword,low,5,2,V
303FD,A32AF8,0260111,Unknown,Unknown,LOS ANGELES CITY,VAN NUYS,CA,Owner name keyword,low,6,3,V
303PH,A32BC4,5620027,Unknown,Unknown,PHI HEALTH LLC,PHOENIX,AZ,Owner name keyword,low,6,3,V
303SW,A32C1C,2990105,Unknown,Unknown,SKYWARRIOR FLIGHT TRAINING LLC,PENSACOLA,FL,Owner name keyword,low,5,1,V
303VS,A32C63,1181420,Unknown,Unknown,VERTOL SYSTEMS COMPANY INC,DESTIN,FL,Owner name keyword,low,6,3,V
3040K,A33090,7640110,Unknown,Unknown,LEADING EDGE FLIGHT ACADEMY LLC,BEND,OR,Owner name keyword,low,6,1,V
3040V,A3309A,2071830,Unknown,Unknown,FLIGHT DECK AIR AND SEA LLC,WEST PALM BEACH,FL,Owner name keyword,low,4,8,V
3048S,A331AF,2071816,Unknown,Unknown,FLIGHT EXPO INC,PRINCETON,MN,Owner name keyword,low,4,8,V
304AA,A32E2F,06102IR,Unknown,Unknown,TEXTRON SYSTEMS UNMANNED SYSTEMS,BLACKSTONE,VA,Owner name keyword,low,H,1,V
304FD,A32EAF,0260400,Unknown,Unknown,CITY OF LOS ANGELES,VAN NUYS,CA,Owner name keyword,low,6,3,V
304JM,A32F02,0690009,Unknown,Unknown,HORTA MIGUEL ANGEL,HIALEAH,FL,Owner name keyword,low,4,8,V
304ME,A32F46,5626002,Unknown,Unknown,CENTER FOR EMERGENCY MEDICINE WESTERN PENNSYLVANIA,WEST MIFFLIN,PA,Owner name keyword,low,6,3,V
304MP,A32F4F,1145004,AS350B3,AMERICAN EUROCOPTER CORP,MIAMI-DADE SHERIFF'S OFFICE,DORAL,FL,Model: AS350B3,medium,6,3,V
304MQ,A32F50,06102D3,Unknown,Unknown,JEMS FAMILY FARM INC,AUBURN,IL,Owner name keyword,low,6,10,V
304PH,A32F7B,5620027,Unknown,Unknown,PHI HEALTH LLC,LAFAYETTE,LA,Owner name keyword,low,6,3,V
304RF,A32FAB,06102DF,Unknown,Unknown,RAPIDFLIGHT HOLDINGS LLC,MANASSAS,VA,Owner name keyword,low,4,7,V
304SW,A32FD3,2990105,Unknown,Unknown,SKYWARRIOR FLIGHT TRAINING LLC,PENSACOLA,FL,Owner name keyword,low,5,1,V
30523,A3349F,0390307,Unknown,Unknown,R & R FLIGHT SERVICE INC,MENDOTA,IL,Owner name keyword,low,4,2,V
305AA,A331E6,06102IR,Unknown,Unknown,TEXTRON SYSTEMS UNMANNED SYSTEMS,BLACKSTONE,VA,Owner name keyword,low,H,1,V
305FD,A33266,0260111,Unknown,Unknown,CITY OF LOS ANGELES,VAN NUYS,CA,Owner name keyword,low,6,3,V
305LG,A332E6,7150006,Unknown,Unknown,EAGLEMED LLC,WICHITA,KS,Owner name keyword,low,5,2,V
305MF,A332FE,5620040,EC135 P3,AIRBUS HELICOPTERS DEUTSCHLAND,QUAD CITY HELICOPTER EMERGENCY MEDICAL SERVICE,DAVENPORT,IA,Model: EC135 P3; Owner name keyword,high,6,3,V
305PH,A33332,5620027,Unknown,Unknown,PHI HEALTH LLC,PHOENIX,AZ,Owner name keyword,low,6,3,V
305PL,A33335,3260414,Unknown,Unknown,LIFESTYLE AVIATION LLC,KEY BISCAYNE,FL,Owner name keyword,low,5,5,V
305RF,A33362,06102DF,Unknown,Unknown,RAPIDFLIGHT HOLDINGS LLC,MANASSAS,VA,Owner name keyword,low,4,7,V
30617,A33837,2072418,Unknown,Unknown,EXECUTIVE FLIGHT TRAINING & SERVICES LLC,SANFORD,NC,Owner name keyword,low,4,8,V
306FD,A3361D,1182166,Unknown,Unknown,CITY OF LOS ANGELES,VAN NUYS,CA,Owner name keyword,low,6,3,V
306LG,A3369D,0260401,AW119MKII,AGUSTAWESTLAND PHILADELPHIA CO,MED-TRANS CORP,DENTON,TX,Model: AW119MKII; Owner name keyword,high,6,3,V
306MK,A336B9,3800337,H 301 LIBELLE,GLASFLUGEL,CARLSON MICHAEL L,SHELBYVILLE,KY,Model: H 301 LIBELLE,medium,1,0,V
306MP,A336BD,1145005,AS350B3,AIRBUS HELICOPTERS INC,MIAMI-DADE SHERIFFS OFFICE,DORAL,FL,Model: AS350B3,medium,6,3,V
306RF,A33719,06102DF,Unknown,Unknown,RAPIDFLIGHT HOLDINGS LLC,MANASSAS,VA,Owner name keyword,low,4,7,V
3072V,A33C05,2071830,Unknown,Unknown,FLIGHT TIME BUILDERS INC,MEMPHIS,TN,Owner name keyword,low,4,8,V
307DC,A339A1,0260109,AGUSTA A109,AGUSTA SPA,ITB SOKOLOWSKI LLC,LEWES,DE,Model: AGUSTA A109,medium,6,3,V
307FD,A339D4,1182166,Unknown,Unknown,CITY OF LOS ANGELES,VAN NUYS,CA,Owner name keyword,low,6,3,V
307ME,A33A6B,5626002,Unknown,Unknown,CENTER FOR EMERGENCY MEDICINE WESTERN PENNSYLVANIA,WEST MIFFLIN,PA,Owner name keyword,low,6,3,V
307MP,A33A74,1145005,AS350B3,AIRBUS HELICOPTERS INC,MIAMI-DADE SHERIFFS OFFICE,DORAL,FL,Model: AS350B3,medium,6,3,V
307RF,A33AD0,06102DF,Unknown,Unknown,RAPIDFLIGHT HOLDINGS LLC,MANASSAS,VA,Owner name keyword,low,4,7,V
